Date Set,Case No,Location,ParcelID,Eff. Date
04/19/2013,20343,1339 S 32ND ST,048C00710000,08/29/2013
03/12/2013,74699,665 LOUIS COLEMAN JR DR,006H02030000,10/04/2011
03/06/2013,93956,3132 GARLAND AVE,046C00920000,04/13/2009
05/13/2013,97074,1112 LOUIS COLEMAN JR DR,045E00510000,05/13/2013
02/07/2013,99482,1857 W ORMSBY AVE,038L01680000,12/06/2007
05/01/2013,100255,716 HENRY FIRPO ST,021G00880000,02/23/2007
03/12/2013,106614,912 S 32ND ST,045C00780000,03/03/2012
05/16/2013,108539,2312 W MADISON ST,001C01310000,09/27/2011
01/11/2013,119987,1372 CYPRESS ST,048E00980000,07/15/2010
11/01/2013,127233,308 N 20TH ST,003G01770000,01/22/2010
01/10/2013,128079,542 S 18TH ST,001E01270000,09/08/2008
12/18/2013,135901,4224 VIRGINIA AVE,047B00500000,04/06/2007
12/09/2013,138210,1725 BOLLING AVE,039F01280000,09/22/2009
03/14/2013,139122,680 S 38TH ST,006F00980000,02/14/2012
03/12/2013,139603,217 S 28TH ST 1,002B00710000,03/11/2013
10/29/2013,140600,1617 BANK ST,015H00220000,04/20/2010
11/01/2013,142354,1252 EUCLID AVE,063A00590000,11/02/2009
09/27/2013,148969,1423 LONGFIELD AVE,064C00570000,07/24/2012
05/13/2013,149452,4748 S 6TH ST,054F00930000,10/25/2011
10/11/2013,151870,4705 S 1ST ST,059A00120000,12/10/2010
11/22/2013,153786,1743 W HILL ST,039F00720000,01/26/2009
01/04/2013,154207,310 E JACOB ST,030B00330000,08/10/2012
05/07/2013,186986,662 S 43RD ST,006D00840000,10/03/2012
01/04/2013,160976,2711 GREENWOOD AVE,046D00480000,05/02/2008
04/09/2013,192564,1535 S 32ND ST,049L00100000,08/21/2007
03/12/2013,198876,426 S 28TH ST,002G01420000,03/11/2013
10/15/2013,201937,1427 S 28TH ST,048K00290000,11/06/2012
05/07/2013,205404,2227 DUMESNIL ST,038H00090000,08/11/2011
10/03/2013,207530,1844 GRAND AVE,038F00920000,12/02/2013
11/08/2013,223099,1746 BOLLING AVE,039F00950000,04/24/2006
04/23/2013,226759,2520 W MUHAMMAD ALI BLVD,002H00660000,04/23/2013
03/11/2013,228900,1451 S 23RD ST,041C01560000,01/25/2012
09/25/2013,232838,2118 GREENWOOD AVE,038F01290000,09/21/2005
01/11/2013,244109,2518 W MUHAMMAD ALI BLVD,002H00660000,01/11/2013
02/05/2013,245054,2317 GREENWOOD AVE,038A00350000,12/27/2012
03/12/2013,245740,659 LOUIS COLEMAN JR DR,006H01110000,07/21/2006
05/22/2013,245810,3018 HALE AVE,046H00920000,04/26/2013
03/18/2013,245925,670 S 35TH ST,006G01610000,11/30/2007
03/19/2013,247107,1631 PRENTICE ST,037D02270000,11/26/2013
03/06/2013,247442,2402 W MADISON ST,001B01290000,06/25/2009
01/24/2013,252317,3403 GREENWOOD AVE,045B00260000,09/27/2012
10/14/2013,253936,317 N 21ST ST,003G01670000,12/11/2008
11/18/2013,256805,1723 W GAULBERT AVE,039F00340000,08/21/2012
11/01/2013,258189,510 N 17TH ST,015G01580000,01/18/2013
11/26/2013,261963,1776 W GAULBERT AVE,041F00370000,03/19/2007
04/02/2013,268942,675 S 38TH ST,006F01230000,08/19/2011
05/21/2013,271931,3125 VIRGINIA AVE,046H00470000,11/26/2012
05/09/2013,275530,2702 BANK ST,004F01330000,10/19/2012
02/20/2013,278128,2219 W OAK ST,038H00530000,10/04/2011
08/08/2013,280146,428 S 28TH ST,002G01410000,09/25/2012
05/16/2013,280294,1806 LYTLE ST,015G00510000,12/13/2012
05/08/2013,281878,2136 DUNCAN ST,003G00320000,10/21/2013
01/10/2013,281985,1406 CATALPA ST,048J01290000,11/28/2007
02/05/2013,282559,111 N KEATS AVE,072B00450000,01/31/2012
11/18/2013,290635,1718 W GAULBERT AVE,039F00170000,05/08/2012
12/18/2013,291282,1411 S 32ND ST,048H01060000,01/31/2013
03/27/2013,295611,155 N JANE ST,072A00890000,10/31/2008
09/09/2013,299334,6640 STRAWBERRY LN,059F00360092,01/17/2012
04/22/2013,300558,2106 GREENWOOD AVE,038F01350000,06/17/2011
02/18/2013,302029,2208 DUMESNIL ST,038L00790000,05/17/2009
04/10/2013,309184,1767 W HILL ST,041F01310000,08/03/2009
10/16/2013,309791,1725 HALE AVE,037F01130000,10/16/2013
01/22/2013,310585,1840 W KENTUCKY ST,038C00200000,11/14/2013
03/26/2013,315916,3756 PENWAY AVE,047G01910000,07/28/2009
03/13/2013,327436,3523 GREENWOOD AVE,045B00090000,07/31/2009
02/20/2013,338563,4012 BEAVER ST,053F00480000,07/03/2012
09/30/2013,339379,670 S 37TH ST,006F01460000,09/26/2011
05/21/2013,341377,3422 W MUHAMMAD ALI BLVD,007F00190000,05/12/2009
04/04/2013,348994,1348 SALE AVE,064C01320000,07/19/2010
06/25/2013,360864,343 S 42ND ST,008D00930000,10/23/2013
11/22/2013,362100,1797 BOLLING AVE,041F01670000,10/20/2011
01/17/2013,376065,303 S 43RD ST,008D00640000,04/23/2012
06/18/2013,377312,1431 BERRY BLVD,064D00190000,09/28/2012
03/14/2013,385299,123 S 38TH ST,009K00200000,04/14/2011
02/14/2013,398116,151 N JANE ST,072A00880000,10/02/2013
04/02/2013,403210,2306 W MADISON ST,001C01340000,10/17/2012
12/11/2013,414666,1727 BOLLING AVE,039F01270000,03/09/2012
12/26/2013,416984,1706 WILSON AVE,039D00130000,08/01/2011
02/05/2013,437598,726 IOWA AVE,050H01050000,04/20/2012
12/05/2013,280294,1806 LYTLE ST,015G00510000,12/13/2012
04/11/2013,15902,965 S 7TH ST,029E00240000,02/11/2009
02/20/2013,16817,718 S 23RD ST,036A00790000,08/04/2006
03/08/2013,32943,3846 W MUHAMMAD ALI BLVD,007D00780000,02/28/2012
03/12/2013,44939,3130 RIVER PARK DR,007K00350000,05/05/2008
04/17/2013,48812,319 SHAWNEE DR,008C00460000,02/18/2013
10/10/2013,54317,126 N 20TH ST,003M01360000,04/09/2013
12/13/2013,68585,2014 W MARKET ST,002E01060000,04/10/2013
10/31/2013,68865,1837 W KENTUCKY ST,038C00480000,10/31/2013
05/22/2013,73548,1033 LOUIS COLEMAN JR DR,045F01060000,11/27/2012
03/14/2013,76270,685 S 38TH ST,006F01180000,08/16/2009
03/12/2013,83820,2510 W JEFFERSON ST,002C00440000,09/25/2012
09/25/2013,84887,5405 WINDING RD,062J00910000,09/25/2013
03/29/2013,85539,3131 MCATEE AVE,006J00720000,11/15/2011
04/26/2013,86444,629 CECIL AVE,006B00460000,07/09/2008
09/19/2013,87406,2410 W JEFFERSON ST,002C00520000,06/03/2008
05/15/2013,87572,2316 STANDARD AVE,040H01470000,02/10/2009
02/13/2013,89150,730 SUTCLIFFE AVE,043F00590000,10/01/2012
04/11/2013,96430,604 EASTERN PKY 1,083B01600000,11/07/2005
10/22/2013,97722,1609 ANDERSON ST,036D00810000,10/22/2013
09/19/2013,97973,2433 CEDAR ST,002C00130000,12/05/2012
