CaseLocation,DateAbandoned,Expenses,PARCELID,ZIP
1000 CALDWELL ST,2013-10-28,327.75,NA,NA
10007 W MANSLICK RD,2013-06-06,8943.54,NA,NA
1001 MULBERRY ST 1,2015-08-23,0,NA,NA
1002 DIXIE HWY,2017-01-05,1696.16,NA,NA
1002 SOUTHWESTERN PKY,2013-06-26,1152.25,NA,NA
1012 WAGNER ST,2015-08-23,0,NA,NA
1014 WAGNER ST,2013-09-09,647,NA,NA
1015 W CHESTNUT ST 150,2017-08-18,531,NA,NA
1016 S 32ND ST,2016-11-17,828.15,NA,NA
1019 LOUIS COLEMAN JR DR,2017-01-11,0,NA,NA
102 NORTHWESTERN PKY,2013-07-25,717.5,NA,NA
10202 VALKYRIE CT,2015-06-23,0,NA,NA
1021 CALDWELL ST,NA,0,NA,NA
1025 DIXIE HWY,2013-08-21,2281.5,NA,NA
1025 S 1ST ST 1,2014-06-30,858.72,NA,NA
1025 S 36TH ST,2016-12-27,216.5,NA,NA
103 W KENTUCKY ST 1,2014-02-13,340.23,NA,NA
1032 S 28TH ST,2013-12-27,774.97,NA,NA
1033 LOUIS COLEMAN JR DR,2013-05-22,1008.1,NA,NA
1033 S 3RD ST,2014-05-27,0,NA,NA
10405 TORRINGTON RD 1,2013-05-30,900.5,NA,NA
10408 GREENTREE LN 1,2015-10-21,0,NA,NA
10417 LA PLAZA DR,2013-08-21,3695.37,NA,NA
105 N 30TH ST,2015-12-21,786.55,NA,NA
1052 E ST CATHERINE ST,2015-08-05,0,NA,NA
10608 W MANSLICK RD,2015-01-05,216.5,NA,NA
107 N 30TH ST,2015-12-21,1218.86,NA,NA
10785 TARRYTOWNE DR,2016-06-06,0,NA,NA
109 E ST CATHERINE ST,2013-07-25,785.97,NA,NA
1103 S 26TH ST,2014-05-12,0,NA,NA
1105 CHESLEY DR,2017-08-07,0,NA,NA
111 SOUTHWESTERN PKY,2016-01-12,291.97,NA,NA
1111 SOUTHWESTERN PKY,2016-06-28,603.75,NA,NA
1114 ALGONQUIN PKY,2013-11-26,1179.97,NA,NA
1114 E ST CATHERINE ST,2014-08-26,1927.5,NA,NA
1117 CHESLEY DR,2015-12-01,0,NA,NA
1123 W HILL ST,2013-08-23,1165.5,NA,NA
1125 SOUTHWESTERN PKY,2016-04-19,0,NA,NA
113 SOUTHWESTERN PKY,2016-11-21,0,NA,NA
1130 SALEM AVE,2013-09-04,0,NA,NA
1132 E ST CATHERINE ST,2016-08-10,203,NA,NA
1132 S 26TH ST,2014-07-23,1393.5,NA,NA
1132 SALEM AVE,2013-08-22,1104.5,NA,NA
1133 S 2ND ST 1,2016-01-14,593.67,NA,NA
1138 ALGONQUIN PKY,2013-07-10,3012.41,NA,NA
1141 S 8TH ST,2013-08-13,574.58,NA,NA
1144 LORETTA ST,2015-11-30,324.75,NA,NA
1149 S 7TH ST,2013-08-08,108.9,NA,NA
115 NORTHWESTERN PKY,2014-03-17,883,NA,NA
1150 S 3RD ST 1,2017-07-31,614.98,NA,NA
1155 DIXIE HWY,2013-10-15,216.5,NA,NA
11707 DIXIE HWY,2016-09-01,3910.65,NA,NA
11901 DIXIE HWY 100,2017-03-23,0,NA,NA
11901 DIXIE HWY 112,2016-11-03,93.75,NA,NA
1196 INNIS CT 3,NA,0,NA,NA
12007 VALLEYMEADOW WAY,2013-12-30,330.75,NA,NA
1204 SOUTH PARK RD,2013-07-15,511.5,NA,NA
1209 S 6TH ST,2015-05-26,0,NA,NA
1214 HUNTINGTON LN,2016-07-18,62.5,NA,NA
1214 LOGAN ST 1,2013-07-08,0,NA,NA
1231 ALGONQUIN PKY,2013-07-30,755.4300000000001,NA,NA
1232 ALGONQUIN PKY,2013-07-22,2686.89,NA,NA
1234 ALGONQUIN PKY,2013-07-22,2646.19,NA,NA
1263 S 1ST ST 1,2017-07-25,101.5,NA,NA
12707 E ORELL RD 1,2014-02-24,319.55,NA,NA
12709 E ORELL RD 1,2016-03-28,516,NA,NA
12711 E ORELL RD 1,2014-12-02,1049.75,NA,NA
12811 DIXIE HWY,2017-01-30,3307.75,NA,NA
1300 W BROADWAY 100,2017-05-17,364.75,NA,NA
1309 SOUTHWESTERN PKY,2013-06-20,3128.64,NA,NA
131 N 38TH ST A,2013-06-05,843.75,NA,NA
131 N 38TH ST B,2013-09-16,1000.22,NA,NA
1312 BALDWIN ST,2013-06-14,1758.5,NA,NA
1316 BALDWIN ST,2013-06-14,3409.19,NA,NA
1322 S PRESTON ST 1,2016-03-31,5747.41,NA,NA
1337 S 4TH ST 1,2016-07-19,0,NA,NA
1340 BLUEGRASS AVE A,2017-08-09,0,NA,NA
1340 BLUEGRASS AVE B,2015-11-10,70.08,NA,NA
1340 OLIVE ST 101,2013-08-23,459,NA,NA
13401 BLAKELY LN,2015-03-18,1982.48,NA,NA
13403 BLAKELY LN,2015-06-11,0,NA,NA
13404 BLAKELY LN,2014-12-02,0,NA,NA
13406 BLAKELY LN,2015-02-03,4943.53,NA,NA
135 NORTHWESTERN PKY,NA,0,NA,NA
13512 BLAKELY LN,2013-07-29,3637,NA,NA
13516 BLAKELY LN,2015-07-21,324.75,NA,NA
1352 S 1ST ST 1,2013-07-08,464,NA,NA
1353 S BROOK ST 2,2015-10-19,0,NA,NA
13608 BLAKELY LN,2015-07-21,108.25,NA,NA
1361 S BROOK ST 1,2013-09-10,134.79,NA,NA
1366 OLIVE ST 1,2014-09-05,0,NA,NA
1379 S BROOK ST 1,2015-08-06,344.75,NA,NA
1392 S 2ND ST 101,2015-06-15,0,NA,NA
1405 W BROADWAY,2013-07-08,109.94,NA,NA
14100 HENDERSON AVE,2015-09-02,328.75,NA,NA
14102 HENDERSON AVE,2015-09-02,328.75,NA,NA
14104 HENDERSON AVE,2015-09-02,328.75,NA,NA
1413 W OAK ST,2013-07-29,0,NA,NA
1414 HIGHLAND AVE 1,NA,0,NA,NA
1419 S SHELBY ST,2014-04-10,407,NA,NA
1425 RUFER AVE,2016-10-24,304.5,NA,NA
1428 BEECH ST 1,2013-08-12,0,NA,NA
1428 HEMLOCK ST,2017-06-13,304.5,NA,NA
143 FRANCIS AVE,2015-09-17,644,NA,NA
1433 BEECH ST 101,2015-06-03,1533,NA,NA
1449 S 23RD ST,2015-01-12,444.6,NA,NA
1453 S 23RD ST,2013-10-01,4368.1900000000005,NA,NA
1503 ARCADE AVE 1,2016-08-29,62.5,NA,NA
1505 W MARKET ST,2014-10-16,1128.6100000000001,NA,NA
1508 W MARKET ST 1,2013-07-12,0,NA,NA
1511 PAWTUXET CT,2016-08-01,216.5,NA,NA
1515 W OAK ST,2013-06-17,564.7,NA,NA
1517 W MARKET ST,2016-03-30,829.25,NA,NA
1520 W ST CATHERINE ST,2017-04-14,469.75,NA,NA
1522 W ST CATHERINE ST,2013-06-06,989.75,NA,NA
1524 W ST CATHERINE ST,2013-06-14,5169.47,NA,NA
1532 W ST CATHERINE ST,2014-03-10,250.5,NA,NA
1534 W ST CATHERINE ST,2014-03-10,828.75,NA,NA
1552 W ST CATHERINE ST,2016-07-28,389.75,NA,NA
1600 W OAK ST,2013-10-21,2524.65,NA,NA
1604 ARLING AVE,2013-06-10,890.75,NA,NA
1604 W OAK ST,2013-06-27,1646.49,NA,NA
1605 S 4TH ST 1,2015-06-08,305.5,NA,NA
1608 BRICK KILN LN 9,2017-01-03,473,NA,NA
1612 BRICK KILN LN 1,2016-12-28,310.25,NA,NA
1612 VIVIAN LN,2013-07-22,0,NA,NA
1612 W OAK ST 101,2013-10-03,335,NA,NA
1620 W CHESTNUT ST 1,2013-10-14,0,NA,NA
1633 W JEFFERSON ST 1,2013-10-24,173.4,NA,NA
1635 PLYMOUTH CT 1,2017-03-21,805.58,NA,NA
1635 PORTLAND AVE,2016-04-05,1044.25,NA,NA
1637 W ORMSBY AVE 1,2015-12-03,679.25,NA,NA
1640 TYLER PKY,2014-07-08,0,NA,NA
1663 ALMARA CIR,2015-01-20,928.14,NA,NA
1702 W BURNETT AVE,2016-06-27,0,NA,NA
1703 LAFAYETTE DR 1,2014-08-28,507.5,NA,NA
1703 W HILL ST,2016-06-17,0,NA,NA
1704 ST LOUIS AVE,2013-07-03,3022.72,NA,NA
1704 VALLEY FORGE WAY 1,2013-06-13,5774.81,NA,NA
1704 W BURNETT AVE,2016-06-27,0,NA,NA
1705 HALE AVE,2013-07-26,0,NA,NA
1705 LIBERTY BELL WAY 1,2013-07-25,751.7,NA,NA
1705 LIBERTY BELL WAY 2,2013-12-17,428.25,NA,NA
1705 LIBERTY BELL WAY 3,2013-08-12,68.5,NA,NA
1706 ST LOUIS AVE,2013-07-03,3600.24,NA,NA
1706 W ST CATHERINE ST,2016-12-07,93.75,NA,NA
1708 BANK ST,2013-10-29,1662.5,NA,NA
