CaseLocation,Expenses,LengthAbandoned
100 N 34TH ST,1191.79,1377
100 S 29TH ST,1187.7,1545
100 S 30TH ST,1099.78,1146
100 S 41ST ST,879.0699999999999,466
100 S 46TH ST,1646,726
1000 ASH ST,125,1096
1000 CALDWELL ST,327.75,1426
1000 DIXIE HWY,1772.91,256
1000 SALE AVE,5490.81,1516
1000 W KENTUCKY ST,0,1284
10001 CHARLESWOOD RD,1935.5,1566
10001 WINGFIELD RD,324.75,47
10003 LARLYN DR,669.5,894
10007 W MANSLICK RD,8943.54,1570
10008 DONAU LN,0,292
10009 MORGAN AVE,1046.04,761
10009 OMAR KHAYYAM BLVD,0,1374
1001 MULBERRY ST 1,0,762
1001 S 32ND ST,6536.59,1535
10010 PARK LAKE DR,161,992
10011 GANDY RD,342,1165
1002 DIXIE HWY,1696.16,261
1002 LONGFIELD AVE,547.75,26
1002 S 40TH ST,95.75,1348
1002 SOUTHWESTERN PKY,1152.25,1550
1002 SYLVIA ST,753.25,1584
10021 BLUE CREEK DR,0,558
10021 NATIONAL TPKE,131.62,507
1003 CHESLEY DR,774,1220
1003 EUCLID AVE,0,762
10034 GLEN MEADOW RD,0,1530
1004 ALTA CIR,125,86
1004 FRANKLIN ST,0,921
1004 GAGEL AVE,735.8,193
1004 W ASHLAND AVE,203,1557
1004 W INDIAN TRL,0,1151
1004 W OAK ST,0,1026
1005 CHARLES ST,0,1557
1005 E MAIN ST,1865.1799999999998,1479
1006 FORREST ST,0,1458
1006 ROGERS ST,1201,894
1006 STANLEY AVE,511,108
1007 FORREST ST,1193,1039
1008 BERRY BLVD,449.75,415
1008 E KENTUCKY ST,0,542
1008 MEADOW HILL RD,933,1510
1008 NAVAHO PL,0,851
1008 S 26TH ST,0,1544
1008 S 28TH ST,3864.9,1516
1008 S 32ND ST,304.5,1318
1008 W OAK ST,2656.39,1045
1008 WALTER AVE,267.64,1286
1009 BALLARD ST,236.5,1283
1009 E MAIN ST,376.21,1195
1009 EUCLID AVE,269.5,1438
1009 MARY ST,171.4,829
1009 SEELBACH AVE,3821,1244
1009 W ASHLAND AVE,233,373
101 E COLLINS CT,629.25,780
101 MACKIE LN,431,1571
101 N 34TH ST,0,1530
101 SAUNDERS CT,491,758
1010 BERRY BLVD,2024.6399999999999,1572
1010 REEVES RD,870.04,1193
1010 S SHELBY ST,898.97,674
1010 SALEM AVE,686.0699999999999,1538
10100 VISTA HILLS BLVD,0,731
10101 FERN CREEK RD,0,1472
10101 RENAISSANCE VALLEY WAY,679.5,856
10101 ROLLING STONE DR,93.75,467
10101 WINDING RIVER WAY,0,465
10104 HORNBEAM BLVD,0,-Inf
10105 PLAUDIT WAY,0,1164
10106 KEYS FERRY RD,0,1522
10107 CLOSTERWOOD DR,0,-Inf
10107 ROLLING STONE DR,132.58,886
10109 CAVEN AVE,0,418
1011 GAGEL AVE,0,1440
1011 S 32ND ST,3050.2400000000002,1131
10113 NATIONAL TPKE,2184.65,1006
10114 CLOSTERWOOD DR,620,1566
10114 LANDWOOD DR,0,822
1012 ANDLE CT,324.75,495
1012 BERRY BLVD,1347.9,1572
1012 CRISTLAND RD,0,374
1012 ROGERS ST,131.79,1391
1012 SALE AVE,0,936
1012 SEELBACH AVE,2200.9,359
1012 W ASHLAND AVE,0,1535
1012 WAGNER ST,0,762
10120 MITCHELL HILL RD,0,1496
1013 E BROADWAY,0,1160
1013 MEADOW HILL RD,420,1103
1013 S 32ND ST,700.5,1151
1013 S HANCOCK ST,0,1409
1014 BLUEGRASS AVE,961.5,1579
1014 CHESLEY DR,584,1495
1014 E MUHAMMAD ALI BLVD,0,1195
1014 WAGNER ST,647,1475
1014 WINKLER AVE,171.4,619
1015 E OAK ST,0,114
1015 LINCOLN AVE,0,-Inf
1015 W CHESTNUT ST 150,531,36
1016 CLAY AVE,0,824
1016 LYNNHURST AVE,1096,1052
1016 MARY ST,2838.65,1403
1016 S 32ND ST,828.15,310
1016 SPRINGVIEW DR,1050,1571
1017 SAMUEL ST,769.15,558
1018 CARLISLE AVE,236.5,131
1018 SALE AVE,729.75,1475
1018 WALTER AVE,1068.5,528
1018 WOODWAY LN,0,353
1019 BROOKLINE AVE,93.75,1130
1019 E OAK ST,6065.9,1269
1019 LOUIS COLEMAN JR DR,0,255
1019 MARY ST,0,801
1019 NAVAHO PL,2841.36,1507
1019 S 1ST ST,242.64,1142
102 N 26TH ST,2115.12,1187
102 N 33RD ST,327,935
102 N 39TH ST,304.5,836
102 N LONGWORTH AVE,93.75,676
102 NORTHWESTERN PKY,717.5,1521
102 S 40TH ST,229.47,982
102 S 46TH ST,265.5,815
102 STOLL AVE,542.9,1229
1020 SALE AVE,223,1440
10202 BEAU BRUMMELL DR,788.72,1251
10202 NATIONAL TPKE,1542.5,1507
10202 VALKYRIE CT,0,823
10203 ALLENTREE PL,0,1535
10203 ARBOR OAK DR,0,1151
10203 GREENFIELD PARK RD,655.75,703
10204 CHARLESWOOD RD,0,382
10204 WOOD VIOLET CT,998.5,235
10205 PARK LAKE DR,216.5,339
10205 POCO PL,1248.75,731
10206 STARLIGHT WAY,93.75,361
10208 ARBOR OAK DR,0,179
10209 GREENFIELD PARK RD,0,115
1021 CALDWELL ST,0,-Inf
1021 E WASHINGTON ST,3347.46,1502
1021 ELLISON AVE,0,1153
1021 S 41ST ST,0,1494
10214 CHARLESWOOD RD,0,1390
10214 CLOSTERWOOD DR,0,1074
10214 MOONLIGHT WAY,304.5,1088
10215 GREENFIELD PARK RD,951,87
10216 CHARLESWOOD RD,503.25,1503
10219 CLOSTERWOOD DR,0,1453
1022 CECIL AVE,0,808
1022 DRESDEN AVE,0,10
1022 NAVAHO PL,507.5,1201
1022 SARAH DR,2717,44
1022 WINKLER AVE,0,374
1023 CECIL AVE,2562.19,1578
1023 E OAK ST,0,837
1023 HATHAWAY AVE,3526.37,114
1023 LYNNHURST AVE,2216.69,709
1023 S 6TH ST,0,1431
1023 SALE AVE,352.5,1271
10235 DODGE LN,0,507
10237 RIVERSTONE CIR,0,788
1024 CARLISLE AVE,64.5,1214
1024 DRESDEN AVE,3026.44,1208
1024 FORREST ST,0,-Inf
1025 DIXIE HWY,2281.5,1494
1025 DRESDEN AVE,350,1214
1025 FORREST ST,1785.5,780
1025 S 1ST ST 1,858.72,1181
1025 S 28TH ST,1295.66,310
1025 S 36TH ST,216.5,270
1025 W INDIAN TRL,1207.83,1479
1026 CECIL AVE,364.2,414
1026 CLARKS LN,84,16
1027 ELLISON AVE,238.5,1412
1027 S 28TH ST,0,1276
1027 WALTER AVE,388,851
1028 DRESDEN AVE,3750.96,1152
1028 E OAK ST,203,115
1028 MORGAN ST,0,1039
1028 S 28TH ST,433,901
1028 SALE AVE,588,1027
1028 SEELBACH AVE,62.5,982
1029 EUCLID AVE,0,1167
1029 LINCOLN AVE,800.47,339
1029 LOUIS COLEMAN JR DR,3108.46,1585
1029 MEADOW HILL RD,0,373
1029 OAKWOOD AVE,2015.83,845
1029 S SHELBY ST,1083.25,1446
103 N 30TH ST,797.25,801
103 N 34TH ST,2279.33,870
103 N 36TH ST,229.47,429
103 N LONGWORTH AVE,1168.75,1424
103 S 38TH ST,643.75,1277
103 W KENTUCKY ST 1,340.23,1318
1030 CECIL AVE,62.5,1472
1030 EUCLID AVE,0,929
10300 MEADOWVIEW DR,0,782
10300 WAYCROSS AVE,216.5,68
10302 LANKFORD LN,577.8199999999999,1514
10302 MEADOWVIEW DR,741.5,1370
10305 MEADOWVIEW DR,216.5,87
10305 SUNLIGHT LN,376.54,1214
10306 CAVEN AVE,0,339
10306 MOONLIGHT WAY,0,145
10309 WAYCROSS AVE,209,992
1031 GARVIN PL,814.25,780
1031 MULBERRY ST,1130.5,1471
10310 STONESTREET RD,976,858
10312 STONESTREET RD,773.5,626
10319 GLENMARY FARM DR,0,1186
10319 MOONLIGHT WAY,515.5,1088
1032 ASH ST,1871.5,914
1032 S 28TH ST,774.97,1366
1033 BAXTER AVE,433,439
1033 CECIL AVE,94,1551
1033 LOUIS COLEMAN JR DR,1008.1,1585
1033 S 28TH ST,2226.5699999999997,674
1033 S 3RD ST,0,1215
1033 TENNESSEE AVE,0,464
1033 W INDIAN TRL,566.75,40
1034 CECIL AVE,0,1074
1034 E KENTUCKY ST,279,641
1034 S 28TH ST,1957.75,1318
1035 MARY ST,0,1188
1035 NAVAHO PL,0,571
1035 OAKWOOD AVE,0,1200
1035 TENNESSEE AVE,1305.75,1559
1035 W INDIAN TRL,758.5,781
1036 LYDIA ST,51,1565
1036 S 6TH ST,0,1552
1037 EUCLID AVE,1953.48,1235
1037 KAISER CT,825.5,436
1037 TENNESSEE AVE,0,746
10381 LOWER RIVER RD,1324.76,1185
1039 LYNNHURST AVE,1132.75,65
1039 S 40TH ST,2207.41,1507
1039 S SHELBY ST,1765.95,1243
1039 W HILL ST,7992.69,1006
104 N 36TH ST,1238.99,429
104 N 38TH ST,699,467
104 S 33RD ST,478,1419
